Date,TIP,linear,log_price,base100
2019-09-20,95.3969955444336,1.0055242465328207,0.0055090438461699595,100.0
2019-09-23,95.52803802490234,1.0069054891042994,0.006881755413598002,100.13736541672083
2019-09-24,95.740966796875,1.0091498474489313,0.00910824119609711,100.3605682238506
2019-09-25,95.24140930175781,1.0038843024387263,0.0038767780144743176,99.83690655896672
2019-09-26,95.29873657226562,1.004488555855243,0.004478512331141435,99.89699993002169
2019-09-27,95.15132141113281,1.0029347383793399,0.0029304404414912466,99.74247183373154
2019-09-30,95.23323822021484,1.003798175820535,0.0037909809632205374,99.8283412142236
2019-10-01,95.41862487792969,1.0057522287574447,0.005735747860661544,100.02267297137888
2019-10-02,95.41862487792969,1.0057522287574447,0.005735747860661544,100.02267297137888
2019-10-03,95.72212219238281,1.0089512174331214,0.008911392762777387,100.34081434755227
2019-10-04,96.01741790771484,1.0120637578225649,0.011991570681697008,100.65035838889943
2019-10-07,95.75493621826172,1.009297090995064,0.009254139058051645,100.37521168437785
2019-10-08,95.66468811035156,1.0083458381784582,0.008311204237094569,100.28060901120652
2019-10-09,95.46781921386719,1.0062707576408223,0.006251178249243284,100.07424098529457
2019-10-10,95.164306640625,1.0030716081311248,0.00306690038064867,99.75608361407964
2019-10-11,94.8690185546875,0.9999591481586918,-4.085267576749282e-05,99.44654757025322
2019-10-14,95.02487182617188,1.0016019068481519,0.0016006251639532247,99.60992092451339
2019-10-15,94.70491790771484,0.9982294586809359,-0.0017721105799130901,99.27452889604223
2019-10-16,94.85259246826172,0.9997860103351941,-0.00021401256386110535,99.4293289080385
2019-10-17,94.98383331298828,1.0011693437489444,0.0011686605990489706,99.5669022602993
2019-10-18,95.13150024414062,1.0027258149861922,0.002722106689747565,99.72169427477482
2019-10-21,94.8279800415039,0.9995265850594842,-0.000473527036748818,99.40352890603913
2019-10-22,95.11507415771484,1.0025526771626947,0.002549424616304197,99.7044756125601
2019-10-23,95.18070220947266,1.0032444242865803,0.0032391724983914555,99.77327028621129
2019-10-24,95.2381591796875,1.0038500447922747,0.0038426523379350534,99.83349961511931
2019-10-25,95.25455474853516,1.0040228609477304,0.004014790878565211,99.85068628725095
2019-10-28,94.79517364501953,0.9991807919145519,-0.0008195438197618485,99.3691395667343
2019-10-29,94.55725860595703,0.9966730678606982,-0.0033324786834322607,99.11974487908748
2019-10-30,94.91001892089844,1.0003913091728465,0.0003912326313789201,99.48952624686346
2019-10-31,95.205322265625,1.0035039299793003,0.0034978055189342377,99.79907828573143
2019-11-01,95.34481811523438,1.0049742745983568,0.004961943768849246,99.94530495546381
2019-11-04,95.2791519165039,1.004282125389419,0.0042729831799264515,99.8764702942088
2019-11-05,95.0986557006836,1.0023796197562074,0.0023767929447180364,99.68726494786615
2019-11-06,95.4022216796875,1.005579332184978,0.005563825362899329,100.00547830172646
2019-11-07,94.86895751953125,0.9999585048226076,-4.149603834107535e-05,99.44648359008707
2019-11-08,94.8115005493164,0.9993528843169133,-0.0006473251528126335,99.38625426117903
2019-11-11,94.86076354980469,0.9998721369533851,-0.00012787122179113005,99.43789425278163
2019-11-12,94.84432983398438,0.9996989187128771,-0.0003011266211932967,99.42066759304615
2019-11-13,94.92637634277344,1.0005637232432498,0.0005635644109912409,99.50667293139126
2019-11-14,95.14789581298828,1.002898631141648,0.0028944382109524214,99.73888094690646
2019-11-15,95.03302001953125,1.0016877922153116,0.0016863694946434287,99.61846227669422
2019-11-18,95.22173309326172,1.0036769069687772,0.003670163670946143,99.8162809529046
2019-11-19,95.39405059814453,1.0054932055667871,0.005478172939501422,99.99691295698334
2019-11-20,95.76323699951172,1.0093845847024328,0.009340823064229195,100.38391298697404
2019-11-21,95.54991912841797,1.007136125090268,0.007110783438988342,100.16030230628505
2019-11-22,95.58275604248047,1.0074822399032421,0.007454386795726839,100.19472363567294
2019-11-25,95.68939971923828,1.0086063088753037,0.008569485722526594,100.30651298097591
2019-11-26,95.8945083618164,1.010768239784225,0.010710675167881009,100.5215183293179
2019-11-27,95.70581817626953,1.0087793662817908,0.008741051733966686,100.32372364566984
2019-11-29,95.4842758178711,1.0064442171323615,0.006423541941214052,100.09149163759234
2019-12-02,95.34796142578125,1.0050074064066623,0.004994911042751659,99.94859993402045
2019-12-03,95.93921661376953,1.0112394834654583,0.011176789796768711,100.56838380102168
2019-12-04,95.8735122680664,1.0105469321714682,0.01049170128720014,100.49950915216283
2019-12-05,95.73394012451172,1.0090757833823072,0.009034845966617952,100.35320250722278
2019-12-06,95.6682357788086,1.008383232088317,0.008348287958863719,100.2843278583639
2019-12-09,95.69290161132812,1.0086432202830997,0.008606081500358393,100.31018384300867
2019-12-10,95.6682357788086,1.0083832320883168,0.008348287958863587,100.2843278583639
2019-12-11,96.0049057006836,1.0119318739254273,0.011861250343791506,100.637242454839
2019-12-12,95.536865234375,1.0069985315853887,0.006974155528200718,100.14661854825005
2019-12-13,95.92276763916016,1.0110661043909293,0.011005323055050809,100.55114114624466
2019-12-16,95.70111083984375,1.0087297489863432,0.008691865046202047,100.31878917535563
2019-12-17,95.83246612548828,1.01011428865525,0.01006348153579407,100.45648249042796
2019-12-18,95.72570037841797,1.0089889330110213,0.008948773036811781,100.34456518479271
2019-12-19,95.88104248046875,1.0106263037607812,0.010570241402359964,100.50740270516141
2019-12-20,95.83174896240234,1.0101067294562678,0.010055997999176426,100.45573072347574
2019-12-23,95.6673812866211,1.0083742253831462,0.008339356091387726,100.28343213603783
2019-12-24,95.7824478149414,1.009587074734744,0.009541410360285238,100.40405074426928
