Date,^TNX,linear,log_price,base100
2022-06-29,3.0929999351501465,1.74351739027622,0.5559045614321024,176.23931302301378
2022-06-30,2.9719998836517334,1.6753099223049799,0.5159981764031956,169.34472317531163
2022-07-01,2.8889999389648438,1.6285230325579125,0.48767348905317826,164.61538158486135
2022-07-05,2.809000015258789,1.5834272481651765,0.45959164225003557,160.05698136130488
2022-07-06,2.9130001068115234,1.6420518753925641,0.49594660334030827,165.98291252001172
2022-07-07,3.007999897003174,1.6956030521609187,0.5280384605424484,171.39600599293288
2022-07-08,3.1010000705718994,1.7480270493531167,0.5584877515719211,176.69516119643197
2022-07-11,2.990999937057495,1.6860202114170662,0.5223708472996658,170.42734730393755
2022-07-12,2.9579999446868896,1.6674181869154587,0.5112764342849334,168.5470058532101
2022-07-13,2.9040000438690186,1.6369785593295698,0.49285220076478287,165.47008841933032
2022-07-14,2.9600000381469727,1.6685456352836927,0.5119523699192817,168.6609712928407
2022-07-15,2.930000066757202,1.6516347161364169,0.5017655345088258,166.95157120900703
2022-07-18,2.9600000381469727,1.6685456352836927,0.5119523699192817,168.6609712928407
2022-07-19,3.0190000534057617,1.701803816592147,0.5316887571104083,172.02279553324487
2022-07-20,3.0360000133514404,1.7113866573359993,0.5373039526269131,172.9914542222402
2022-07-21,2.9100000858306885,1.6403607700382326,0.4949161993743047,165.81197115311792
2022-07-22,2.7829999923706055,1.5687710913583295,0.4502925684981476,158.57549857162817
2022-07-25,2.819999933242798,1.5896278782003659,0.4634999499730772,160.6837573165126
2022-07-26,2.7869999408721924,1.5710258536987585,0.4517288159800579,158.80341586578515
2022-07-27,2.7339999675750732,1.541149883098967,0.4325288151376943,155.78347435916854
2022-07-28,2.680999994277954,1.5112739124991754,0.4129529458153488,152.76353285255198
2022-07-29,2.6419999599456787,1.489289677288905,0.39829927963534933,150.5413086680369
2022-08-01,2.6059999465942383,1.468996547432966,0.38457954690508994,148.49002585041563
2022-08-02,2.740999937057495,1.545095750793727,0.435085883053134,156.18233302021935
2022-08-03,2.747999906539917,1.5490416184884876,0.4376364290457048,156.5811916812701
2022-08-04,2.6760001182556152,1.5084554931726486,0.41108627515298957,152.4786396311318
2022-08-05,2.8399999141693115,1.6009018242985495,0.4705671106468628,161.82335737240174
2022-08-08,2.765000104904175,1.558624593628379,0.4438037616101464,157.5498639553697
2022-08-09,2.796999931335449,1.57666282674785,0.4553104783662876,159.3732158937297
2022-08-10,2.7860000133514404,1.5704621967126604,0.45136996884576913,158.74643993852197
2022-08-11,2.888000011444092,1.6279593755718142,0.4873273136890374,164.55840565759817
2022-08-12,2.8489999771118164,1.6059751403615439,0.4737311361778327,162.33618147308312
2022-08-15,2.7909998893737793,1.5732806160391872,0.45316300361323786,159.0313331599421
2022-08-16,2.8239998817443848,1.5918826405407946,0.46491736645159887,160.9116746106696
2022-08-17,2.8929998874664307,1.630777794898341,0.4890570757912471,164.8432988790183
2022-08-18,2.880000114440918,1.6234498508909563,0.4845534225801056,164.10257106928424
2022-08-19,2.989000082015991,1.6848928974448705,0.5217019994368968,170.31339544941122
2022-08-22,3.0369999408721924,1.7119503143220967,0.5376332552902837,173.0484301495034
2022-08-23,3.053999900817871,1.7215331550659492,0.5432152630161229,174.01708883849872
2022-08-24,3.1059999465942383,1.750845468679643,0.5600987962279315,176.98005441785213
2022-08-25,3.0260000228881836,1.7057496842869073,0.5340047116258273,172.42165419429566
2022-08-26,3.0350000858306885,1.7108230003499016,0.5369745414875757,172.93447829497703
2022-08-29,3.109999895095825,1.7531002310200723,0.5613857811557181,177.2079717120091
2022-08-30,3.109999895095825,1.7531002310200723,0.5613857811557181,177.2079717120091
2022-08-31,3.132999897003174,1.7660652824725878,0.5687540677910512,178.51851313479202
2022-09-01,3.265000104904175,1.8404735148750562,0.6100228835541315,186.03989252280618
2022-09-02,3.193000078201294,1.7998872551631784,0.5877240269199461,181.93732688756364
2022-09-06,3.3399999141693115,1.8827507455452268,0.6327338699866197,190.3133859398382
2022-09-07,3.265000104904175,1.8404735148750564,0.6100228835541316,186.03989252280618
2022-09-08,3.2920000553131104,1.855693328668001,0.6182583883129267,187.57835123974604
2022-09-09,3.321000099182129,1.8720405908291793,0.6270290609555708,189.23077539631655
2022-09-12,3.361999988555908,1.895152140011645,0.6392991202782923,191.56695143535796
2022-09-13,3.421999931335449,1.9289739783061968,0.6569882441002037,194.9857516030253
2022-09-14,3.4119999408721924,1.9233370052571048,0.6540617009958853,194.41595157508075
2022-09-15,3.4590001106262207,1.949830899544272,0.6677426506329927,197.09402393301403
2022-09-16,3.447999954223633,1.9436301351130438,0.66455742822106,196.467234392702
2022-09-19,3.490000009536743,1.9673054756776456,0.6766648276427489,198.8603999441109
2022-09-20,3.571000099182129,2.0129650514525177,0.6996087850824619,203.4757896800348
2022-09-21,3.509999990463257,1.9785794217758295,0.6823791234565755,200.0
2022-09-22,3.7079999446868896,2.0901915687854737,0.7372557214821946,211.28204870436483
2022-09-23,3.697000026702881,2.083990938750284,0.7342847758731679,210.65527274915706
2022-09-26,3.878000020980835,2.1860202450160764,0.7820826509265024,220.9686627645266
2022-09-27,3.9639999866485596,2.234498240117475,0.8040167017953899,225.8689457218707
2022-09-28,3.7049999237060547,2.0885004634311426,0.7364463268517141,211.11110733747105
2022-09-29,3.746999979019165,2.1121758039957443,0.7477186029080035,213.5042728888799
2022-09-30,3.803999900817871,2.144306536935965,0.7628162073058506,216.75213168965345
2022-10-03,3.6510000228881836,2.0580608358452537,0.7217641976383394,208.03418990359125
2022-10-04,3.617000102996826,2.0388951543575486,0.7124080701415431,206.09687252560062
2022-10-05,3.759000062942505,2.1189402254130703,0.750916070022344,214.18803835645508
2022-10-06,3.8259999752044678,2.1567079314023827,0.7685829532330853,218.0056971851732
2022-10-07,3.882999897003174,2.188838664342603,0.7833711129202872,221.25355598594675
2022-10-10,3.888000011444092,2.1916572180651683,0.7846579782374538,221.53846279247117
2022-10-11,3.938999891281128,2.220405740296726,0.7976899450839627,224.44443885945714
2022-10-12,3.9019999504089355,2.1995489534546895,0.7882523181876012,222.33618011457267
2022-10-13,3.9519999027252197,2.2277338187001496,0.8009848439673791,225.18518025429552
2022-10-14,4.010000228881836,2.260428477418545,0.8155543870920626,228.49004215254075
2022-10-17,4.014999866485596,2.263246762349033,0.8168004028406473,228.77492178885666
2022-10-18,3.997999906539917,2.2536639216051806,0.8125573013973207,227.80626309986133
2022-10-19,4.126999855041504,2.326380914257279,0.8443138043418424,235.15668753587738
2022-10-20,4.22599983215332,2.3821869877621014,0.8680189681720618,240.7977118880598
2022-10-21,4.2129998207092285,2.374858909358678,0.8649380291361441,240.05697049322148
2022-10-24,4.234000205993652,2.386696781235037,0.8699103100607501,241.2535736465823
2022-10-25,4.107999801635742,2.315670625145193,0.8396993324748253,234.0740634072515
2022-10-26,4.014999866485596,2.2632467623490333,0.8168004028406474,228.77492178885666
2022-10-27,3.937000036239624,2.2192784263245313,0.7971821098623052,224.3304870049308
2022-10-28,4.010000228881836,2.2604284774185452,0.8155543870920626,228.49004215254075
2022-10-31,4.077000141143799,2.2981961834078577,0.8321245471524615,232.30770098125885
2022-11-01,4.052000045776367,2.2841036835871082,0.8259736863794866,230.88319411884535
2022-11-02,4.059000015258789,2.2880495512818686,0.827699730311831,231.28205277989613
2022-11-03,4.124000072479248,2.324689943298986,0.8435866724255227,234.98575975408787
2022-11-04,4.156000137329102,2.3427283108144956,0.8513161949763782,236.80912527755217
2022-11-07,4.214000225067139,2.3754228351368525,0.8651754574872005,240.11397359069315
2022-11-08,4.125999927520752,2.325817257271181,0.8440714857784136,235.09971160861426
2022-11-09,4.151000022888184,2.3399097570919305,0.85011236328062,236.52421847102775
2022-11-10,3.8289999961853027,2.1583990367567143,0.7693667601947147,218.17663855206698
2022-11-11,3.812999963760376,2.149379852998959,0.7651793600670198,217.26495579033482
2022-11-14,3.865000009536743,2.1786921666126533,0.7787247732026699,220.22792136968823
2022-11-15,3.7990000247955322,2.1414881176094385,0.7615009694281681,216.4672384682333
2022-11-16,3.691999912261963,2.0811723850277195,0.7329313815720621,210.37036594263267
2022-11-17,3.7750000953674316,2.1279594091708254,0.7551634966597055,215.09972111818723
2022-11-18,3.818000078201294,2.1521984067215247,0.7664898344816442,217.54986259685927
2022-11-21,3.825000047683716,2.1561442744162855,0.768321568440652,217.94872125791
2022-11-22,3.757999897003174,2.1183764340309343,0.7506499622797439,214.13104884408764
2022-11-23,3.7060000896453857,2.0890642548132794,0.7367162407482466,211.1680968498385
2022-11-25,3.690999984741211,2.080608728041622,0.7326605086096307,210.31339001536952
2022-11-28,3.703000068664551,2.087373149458948,0.7359064091702493,210.99715548294466
2022-11-29,3.747999906539917,2.112739460981843,0.7479854281360095,213.5612488161431
2022-11-30,3.703000068664551,2.0873731494589483,0.7359064091702494,210.99715548294466
2022-12-01,3.5290000438690186,1.9892897108879166,0.6877776458199605,201.08262412862592
2022-12-02,3.50600004196167,1.9763246594354011,0.6812388871633958,199.77208270584305
2022-12-05,3.5989999771118164,2.028748522231561,0.7074191114331204,205.07122432423785
2022-12-06,3.513000011444092,1.9802705271301622,0.6832334652371529,200.17094136689377
2022-12-07,3.4079999923706055,1.921082242916677,0.6528886954242195,194.1880342809238
2022-12-08,3.490999937057495,1.9678691326637445,0.6769512987887857,198.91737587137405
2022-12-09,3.566999912261963,2.010710154716051,0.6984879704754257,203.24785880077357
2022-12-12,3.6110000610351562,2.035512943648887,0.7107478478937063,205.75498979181305
2022-12-13,3.500999927520752,1.9735061057128362,0.6798117099659092,199.4871758993186
2022-12-14,3.503000020980835,1.97463355408107,0.6803828389005626,199.60114133894925
2022-12-15,3.450000047683716,1.9447575834812787,0.6651373335604576,196.58119983233263
2022-12-16,3.4820001125335693,1.9627959509967885,0.6743699623604777,198.40456535579693
2022-12-19,3.5810000896453857,2.018602024501611,0.7024052047457355,204.04558970797936
2022-12-20,3.684000015258789,2.0766628603468624,0.7307622112307907,209.91453135431874
2022-12-21,3.684000015258789,2.0766628603468624,0.7307622112307907,209.91453135431874
2022-12-22,3.6689999103546143,2.068207333575205,0.7266822096357738,209.0598245198498
2022-12-23,3.750999927520752,2.1144305663361744,0.7487855404729256,213.73219018303686
2022-12-27,3.859999895095825,2.1758736128900886,0.777430244995314,219.94301456316384
2022-12-28,3.88700008392334,2.1910935610790716,0.7844007621566824,221.48148686520796
2022-12-29,3.8350000381469727,2.161781247465378,0.7709325334621011,218.51852128585455
2022-12-30,3.878999948501587,2.186583902002175,0.7823404638774436,221.0256386917898
2023-01-03,3.7929999828338623,2.138105906900776,0.7599203468768425,216.12535573444572
2023-01-04,3.7090001106262207,2.090755360167611,0.7375254170297033,211.33903821673226
2023-01-05,3.7200000286102295,2.0969559902028005,0.7404867646717993,211.96581417194
2023-01-06,3.569000005722046,2.0118376030842846,0.6990485348071086,203.3618242404042
2023-01-09,3.5169999599456787,1.982525289470591,0.6843714307988927,200.39885866105078
2023-01-10,3.621000051498413,2.0411499166979787,0.7135133337014786,206.3247898197576
2023-01-11,3.553999900817871,2.0033820763126275,0.6948367905210984,202.5071174059352
2023-01-12,3.4489998817443848,1.9441937920991423,0.6648473883635975,196.52421031996522
2023-01-13,3.510999917984009,1.979143078761928,0.6826639625223931,200.05697592726318
2023-01-17,3.5350000858306885,1.9926719215965796,0.6894764123246093,201.42450686241352
2023-01-18,3.375,1.9024802184150689,0.6431584130203153,192.30769283019632
