Date,DX-Y.NYB,linear,log_price
2004-08-05,89.63999938964844,1.0100281621368832,0.009978213768281258
2004-08-06,88.36000061035156,0.995605640680017,-0.004404042896053822
2004-08-09,88.38999938964844,0.9959436550946297,-0.004064594187879212
2004-08-10,88.79000091552734,1.0004507145411525,0.00045061299986400363
2004-08-11,88.8499984741211,1.0011267433703779,0.0011261090714839456
2004-08-12,88.69000244140625,0.999323971170774,-0.0006762574397516088
2004-08-13,87.9000015258789,0.9904225524042687,-0.009623606305134494
2004-08-16,87.95999908447266,0.9910985812334941,-0.008941273077415584
2004-08-17,88.05999755859375,0.9922253246038727,-0.007805055752267487
2004-08-18,88.08000183105469,0.9924507248569537,-0.00757791515255969
2004-08-19,87.79000091552734,0.9891831089073498,-0.010875818988801418
2004-08-20,88.12000274658203,0.9929014393981068,-0.007123875252726437
2004-08-23,89.05999755859375,1.0034929302376754,0.003486844124980652
2004-08-24,89.45999908447266,1.0079999896841982,0.007968159415247214
2004-08-25,89.41999816894531,1.007549275143045,0.007520921973294132
2004-08-26,89.30000305175781,1.0061972174845943,0.00617809370114725
2004-08-27,89.7699966430664,1.0114929199218743,0.011427378018244456
2004-08-30,89.69000244140625,1.0105915768045768,0.01053587899488176
2004-08-31,88.94000244140625,1.0021408725792247,0.0021385841770613385
2004-09-01,88.87000274658203,1.001352143623459,0.0013512303004734184
2004-09-02,88.9800033569336,1.0025915871203779,0.002588234749202628
2004-09-03,89.62999725341797,1.0099154620103428,0.00986662637018735
2004-09-06,89.52999877929688,1.0087887186399642,0.00875032265596843
2004-09-07,89.2300033569336,1.0054084885288288,0.0053939151776659445
2004-09-08,88.7699966430664,1.0002253142880717,0.00022528890862003915
2004-09-09,88.83000183105469,1.0009014290823057,0.0009010230391053941
2004-09-10,88.38999938964844,0.9959436550946297,-0.004064594187879339
2004-09-13,88.55000305175781,0.9977465132592424,-0.002256029663015205
2004-09-14,88.45999908447266,0.9967323840503955,-0.0032729662649641257
2004-09-15,89.1500015258789,1.0045070594465224,0.00449693306948389
2004-09-16,88.79000091552734,1.0004507145411525,0.0004506129998638657
2004-09-17,88.91000366210938,1.0018028581646121,0.0018012349664696691
2004-09-20,88.98999786376953,1.0027042012819096,0.002700551507958616
2004-09-21,88.12999725341797,0.9930140535596385,-0.007010462409076657
2004-09-22,88.51000213623047,0.997295798718089,-0.0027078642392698053
2004-09-23,88.44000244140625,0.9965070697623233,-0.0034990447610533898
2004-09-24,88.4000015258789,0.9960563552211702,-0.003951441450854008
2004-09-27,88.29000091552734,0.9948169117242511,-0.005196567072486762
2004-09-28,88.11000061035156,0.9927887392715663,-0.0072373875497325595
2004-09-29,88.0999984741211,0.9926760391450259,-0.0073509127332428625
2004-09-30,87.36000061035156,0.9843380350462143,-0.01578590937230523
2004-10-01,87.62999725341797,0.9873802507427372,-0.012700054630708613
2004-10-04,88.37999725341797,0.9958309549680892,-0.004177759729895281
2004-10-05,88.16999816894531,0.9934647681007917,-0.006556680023910662
2004-10-06,88.4800033569336,0.9969577843034765,-0.0030468526414741647
2004-10-07,88.33999633789062,0.9953802404269361,-0.004630463641858893
2004-10-08,87.44999694824219,0.9853520782900522,-0.01475626178808805
2004-10-11,87.54000091552734,0.9863662074988991,-0.013727586134387201
2004-10-12,88.0199966430664,0.9917746100627195,-0.008259405110885352
2004-10-13,87.87999725341797,0.9901971521511879,-0.009851212092894366
2004-10-14,87.55000305175781,0.9864789076254397,-0.013613334766351168
2004-10-15,87.08999633789062,0.9812957333846826,-0.018881403700589276
2004-10-18,87.0199966430664,0.9805070044289167,-0.01968548963956726
2004-10-19,86.83999633789062,0.9784788319762319,-0.021756125516201593
2004-10-20,86.3499984741211,0.972957729285871,-0.0274146414336994
2004-10-21,86.0199966430664,0.9692393987951139,-0.031243640024971663
2004-10-22,85.87000274658203,0.9675493267220505,-0.03298887168578197
2004-10-25,84.97000122070312,0.9574084644586263,-0.043525160973791596
2004-10-26,85.20999908447266,0.9601126657405364,-0.04070464126002571
2004-10-27,85.44000244140625,0.962704252860915,-0.038009024569129544
2004-10-28,85.27999877929688,0.9609013946963023,-0.03988348225205194
2004-10-29,84.91000366210938,0.9567324356294009,-0.044231513214948025
2004-11-01,85.19999694824219,0.959999965613996,-0.040822030339009455
2004-11-02,85.47000122070312,0.9630422672755277,-0.03765797689535784
2004-11-03,84.69999694824219,0.9543661627970946,-0.04670786272771559
2004-11-04,84.54000091552734,0.9525633905974907,-0.048598622387364676
2004-11-05,84.01000213623047,0.9465915733659767,-0.054887563550481834
2004-11-08,84.08999633789062,0.9474929164832742,-0.05393581806059922
2004-11-09,84.29000091552734,0.94974648918904,-0.05156018348449802
2004-11-10,84.43000030517578,0.9513239471005717,-0.049900636059574836
2004-11-11,84.37000274658203,0.9506479182713463,-0.050611507623978085
2004-11-12,83.69000244140625,0.9429859430017601,-0.058703903138724346
2004-11-15,84.0,0.946478873239436,-0.05500662951221182
2004-11-16,83.80000305175781,0.9442253864986789,-0.05739038445033112
2004-11-17,83.29000091552734,0.938478883555237,-0.06349492341623249
2004-11-18,83.69000244140625,0.9429859430017599,-0.05870390313872456
2004-11-19,83.30999755859375,0.9387041978433092,-0.06325486767378852
2004-11-22,83.19000244140625,0.9373521401848585,-0.0646962507123772
2004-11-23,82.97000122070312,0.9348732531910204,-0.06734431696674742
2004-11-24,82.41000366210938,0.9285634215448937,-0.07411659514255242
2004-11-25,82.18000030517578,0.9259718344245151,-0.07691146118675772
2004-11-26,81.77999877929688,0.9214647749779922,-0.08179072834570023
2004-11-29,81.93000030517578,0.9231549330160643,-0.07995820047696683
2004-11-30,81.81999969482422,0.9219154895191453,-0.08130171958411662
2004-12-01,81.55999755859375,0.9189858879841541,-0.08448451258313948
2004-12-02,81.94999694824219,0.9233802473041366,-0.07971416040495329
2004-12-03,80.9800033569336,0.9124507420499552,-0.09162117629765139
2004-12-06,81.27999877929688,0.9158309721610909,-0.08792345954384716
2004-12-07,81.23999786376953,0.9153802576199377,-0.0884157179386457
2004-12-08,81.9000015258789,0.9228169186014518,-0.08032441886550203
2004-12-09,82.02999877929688,0.924281676386443,-0.07873840922204635
2004-12-10,82.55000305175781,0.9301408794564254,-0.07241922102079061
2004-12-13,82.0999984741211,0.9250704053422089,-0.07788543048275716
2004-12-14,82.31999969482422,0.9275492923360469,-0.07520934053692022
2004-12-15,81.62999725341797,0.9197746169399201,-0.08362662053898488
2004-12-16,82.5,0.9295774647887317,-0.0730251350148903
2004-12-17,82.16000366210938,0.925746520136443,-0.07715481816232486
2004-12-20,81.66999816894531,0.9202253314810732,-0.08313671340550424
2004-12-21,81.94000244140625,0.9232676331426048,-0.07983612644175288
2004-12-22,81.93000030517578,0.9231549330160643,-0.07995820047696672
2004-12-23,81.33999633789062,0.9165070009903161,-0.0871855728986928
2004-12-24,81.22000122070312,0.9151549433318654,-0.08866189106778626
2004-12-27,80.72000122070312,0.909521140514964,-0.09483703718748739
