Date,CL=F,linear,log_price,base100
2000-08-24,31.6299991607666,0.9868954731266176,-0.013191148777288034,100.0
2000-08-25,32.04999923706055,0.9999999999999999,-7.112366251504909e-17,101.32785358026473
2000-08-28,32.869998931884766,1.0255850144881131,0.025263195618972237,103.92032818216525
2000-08-29,32.720001220703125,1.0209048985832057,0.020689389480082542,103.4461020830141
2000-08-30,33.400001525878906,1.042121757284078,0.041258786105635055,105.59596083488927
2000-08-31,33.099998474121094,1.032761287427626,0.03223607672193972,104.64748451583223
2000-09-01,33.380001068115234,1.0414977180254266,0.04065979067033155,105.5327282762603
2000-09-05,33.79999923706055,1.0546021853871497,0.05316362035478377,106.86057582633634
2000-09-06,34.95000076293945,1.0904836691080328,0.08662133094725824,110.49636955504867
2000-09-07,35.33000183105469,1.1023401769757717,0.09743535363622854,111.69776404824417
2000-09-08,33.70000076293945,1.0514821081172112,0.05020070043545289,106.54442509356895
2000-09-11,35.099998474121094,1.09516378501294,0.09090392743746986,110.9705956541998
2000-09-12,34.20000076293945,1.0670827325135397,0.0649285068147145,108.12520287816083
2000-09-13,33.79999923706055,1.0546021853871494,0.05316362035478383,106.86057582633634
2000-09-14,34.099998474121094,1.063962536220283,0.0620001799802723,107.80904008501602
2000-09-15,35.849998474121094,1.118564721607433,0.11204636492074214,113.34176233108764
2000-09-18,36.880001068115234,1.1507020887997264,0.14037226808828657,116.59817276840354
2000-09-19,36.5,1.1388455809319875,0.1300151010264299,115.39677827520805
2000-09-20,37.5,1.170046829724645,0.15704377341434933,118.55833384439183
2000-09-21,33.95000076293945,1.0592824203153755,0.05759171691513247,107.33481398586488
2000-09-22,32.650001525878906,1.0187208206895848,0.01854774289484605,103.22479415800143
2000-09-25,31.56999969482422,0.9850234148623221,-0.015089866658754218,99.8103083543018
2000-09-26,31.5,0.9828393369687015,-0.017309613730428507,99.58900042928913
2000-09-27,31.5,0.9828393369687015,-0.017309613730428507,99.58900042928913
2000-09-28,30.299999237060547,0.9453978146128492,-0.056149472226212624,95.79513133419312
2000-09-29,30.860000610351562,0.9628705567851319,-0.037836292848920795,97.5656067946719
2000-10-02,32.150001525878906,1.003120196293256,0.0031153385828527475,101.64401637340954
2000-10-03,32.06999969482422,1.0006240392586507,0.0006238446271206719,101.3910861388937
2000-10-04,31.5,0.9828393369687016,-0.017309613730428337,99.58900042928913
2000-10-05,30.649999618530273,0.9563182635926112,-0.04466450962578969,96.90167698944518
2000-10-06,30.850000381469727,0.9625585371558063,-0.03816039684531172,97.53399051535742
2000-10-09,31.8799991607666,0.9946957853247813,-0.005318331964763216,100.79038889229595
2000-10-10,33.150001525878906,1.0343214450859133,0.03374560309938435,104.80557194259332
2000-10-11,33.150001525878906,1.0343214450859133,0.03374560309938435,104.80557194259332
2000-10-12,36.099998474121094,1.126365033805597,0.11899566350870482,114.13215122338359
2000-10-13,35.04999923706055,1.0936037463779706,0.08947843215140897,110.81252028781607
2000-10-16,33.099998474121094,1.0327612874276255,0.0322360767219398,104.64748451583223
2000-10-17,32.95000076293945,1.028081171522718,0.027694124540960076,104.17325841668111
2000-10-18,33.54999923706055,1.046801873188985,0.04573968111530362,106.07018693404041
2000-10-19,32.95000076293945,1.028081171522718,0.027694124540960114,104.17325841668111
2000-10-20,34.29999923706055,1.070202809783478,0.06784817236674556,108.44135361092823
2000-10-23,33.72999954223633,1.0524181074935288,0.05109047594013272,106.63926790132368
2000-10-24,33.369998931884766,1.0411856388844414,0.04036010119301853,105.50110596675715
2000-10-25,32.959999084472656,1.0283931316403847,0.02799751770233311,104.2048686658069
2000-10-26,33.75,1.0530421467521804,0.051683257756523236,106.70250045995265
2000-10-27,32.70000076293945,1.020280859324554,0.020077941672673565,103.38286952438516
2000-10-30,32.810001373291016,1.0237130157354772,0.02343622926686136,103.73064256665575
2000-10-31,32.689998626708984,1.019968780183569,0.01977201916458861,103.35124721488198
2000-11-01,33.20000076293945,1.0358814837208827,0.03525273934053102,104.96364730897704
2000-11-02,32.540000915527344,1.0152886642786618,0.01517297036431969,102.87702111573086
2000-11-03,32.599998474121094,1.0171606630312975,0.01701508200454398,103.06670673124034
2000-11-06,32.86000061035156,1.0252730543704467,0.02495897162140835,103.88871793303946
2000-11-07,33.400001525878906,1.042121757284078,0.041258786105635326,105.59596083488927
2000-11-08,33.290000915527344,1.0386896008731548,0.03795991952648999,105.24818779261868
2000-11-09,33.95000076293945,1.0592824203153757,0.05759171691513269,107.33481398586488
2000-11-10,34.09000015258789,1.0636505761026167,0.06170693106382701,107.77742983589023
2000-11-13,34.43000030517578,1.074259005453053,0.07163112665207588,108.8523592118278
2000-11-14,34.849998474121094,1.0873634728147763,0.08375593386032978,110.18020676190386
2000-11-15,35.599998474121094,1.1107644094092692,0.10504843543420135,112.55137343879169
2000-11-16,35.04999923706055,1.0936037463779715,0.08947843215140927,110.81252028781607
2000-11-17,35.599998474121094,1.1107644094092695,0.10504843543420145,112.55137343879169
2000-11-20,35.220001220703125,1.098908020564849,0.09431697816541731,111.34999100597356
2000-11-21,35.150001525878906,1.0967239426712285,0.09232750210515282,111.12868308096088
2000-11-22,35.400001525878906,1.1045242548693928,0.09941470368163641,111.91907197325683
2000-11-27,35.380001068115234,1.1039002156107414,0.09884955935942658,111.85583941462787
2000-11-28,34.25,1.0686427711485096,0.06638940514621901,108.28327824454453
2000-11-29,34.630001068115234,1.0804992790162486,0.07742322969595439,109.48467273774003
2000-11-30,33.79999923706055,1.0546021853871503,0.05316362035478443,106.86057582633634
