Date,^TNX,linear,log_price
2003-12-09,4.3520002365112305,1.0172978870250353,0.01714998177327278
2003-12-10,4.317999839782715,1.009350154977654,0.00930671286232374
2003-12-11,4.23799991607666,0.9906498450223461,-0.00939414208225284
2003-12-12,4.242000102996826,0.9915849051051673,-0.00845070170303686
2003-12-15,4.275000095367432,0.9992987885348638,-0.0007014574288842059
2003-12-16,4.234000205993652,0.9897148964021644,-0.010338360760850294
2003-12-17,4.189000129699707,0.9791959441866438,-0.021023509198907758
2003-12-18,4.140999794006348,0.9679756690433474,-0.03254832730725482
2003-12-19,4.132999897003174,0.9661056603403445,-0.034482071516780295
2003-12-22,4.164000034332275,0.9733520694599502,-0.027009423128033203
2003-12-23,4.269000053405762,0.9978962541419517,-0.0021059618398197692
2003-12-24,4.186999797821045,0.9787283584139134,-0.021501143376080674
2003-12-26,4.1479997634887695,0.9696119405913048,-0.030859348776635917
2003-12-29,4.230000019073486,0.9887798363193432,-0.011283584558493574
2003-12-30,4.2789998054504395,1.0002337371550454,0.00023370984277234878
2003-12-31,4.256999969482422,0.9950911853561276,-0.004920902448562558
2004-01-02,4.373000144958496,1.0222067016689078,0.02196372345352844
2004-01-05,4.38700008392334,1.0254792447648229,0.025160059188304874
2004-01-06,4.2769999504089355,0.9997662628449547,-0.00023376447583170826
2004-01-07,4.245999813079834,0.992519853725349,-0.007508262867363946
2004-01-08,4.249000072479248,0.9932211766531247,-0.006801903935150035
2004-01-09,4.085999965667725,0.9551192338147331,-0.04591909413276532
2004-01-12,4.083000183105469,0.9544180223495968,-0.04665352494252452
2004-01-13,4.0279998779296875,0.941561475658343,-0.06021563757490338
2004-01-14,3.9860000610351562,0.9317438463705983,-0.07069734502279343
2004-01-15,3.9709999561309814,0.9282375103883181,-0.07446764102401224
2004-01-16,4.013999938964844,0.9382889325624281,-0.06369734695720206
2004-01-20,4.057000160217285,0.9483404104678578,-0.05304175840990295
2004-01-21,4.0370001792907715,0.9436653329790308,-0.05798369584309311
2004-01-22,3.9690001010894775,0.9277700360782272,-0.0749713828550908
2004-01-23,4.065999984741211,0.950444156325906,-0.05082587067240048
2004-01-26,4.139999866485596,0.9677419318883017,-0.03278982653841263
2004-01-27,4.086999893188477,0.9553529709697782,-0.04567440367809556
2004-01-28,4.195000171661377,0.9805984785795556,-0.019592201286139033
2004-01-29,4.197000026702881,0.9810659528896465,-0.01911559141195178
2004-01-30,4.138000011444092,0.967274457578211,-0.03327300003681825
2004-02-02,4.151000022888184,0.9703132635190804,-0.030136307540980973
2004-02-03,4.099999904632568,0.9583917769106478,-0.04249863167586633
2004-02-04,4.124000072479248,0.964001914482296,-0.03666199839607823
2004-02-05,4.173999786376953,0.9756895524730437,-0.0246108246502267
2004-02-06,4.089000225067139,0.9558205567425087,-0.04518508570117721
2004-02-09,4.065000057220459,0.9502104191708605,-0.05107182504963143
2004-02-10,4.1020002365112305,0.958859362683378,-0.04201086481805148
2004-02-11,4.020999908447266,0.9399252041103852,-0.061954976979290546
2004-02-12,4.058000087738037,0.9485741476229029,-0.052795319101151525
2004-02-13,4.047999858856201,0.9462365531471697,-0.0552626850081544
2004-02-17,4.047999858856201,0.9462365531471697,-0.0552626850081544
2004-02-18,4.048999786376953,0.9464702903022151,-0.055015697835214684
2004-02-19,4.052000045776367,0.9471716132299909,-0.05427498444211422
2004-02-20,4.0980000495910645,0.9579243026005569,-0.04298652020778635
2004-02-23,4.050000190734863,0.9467041389199,-0.05476865391230431
2004-02-24,4.0289998054504395,0.9417952128133882,-0.059967424203877004
2004-02-25,4.014999866485596,0.9385226697174732,-0.06344826798095342
2004-02-26,4.046000003814697,0.9457690788370788,-0.055756842437393456
2004-02-27,3.9839999675750732,0.9312763163291873,-0.07119925054221396
2004-03-01,3.992000102996826,0.93314638076351,-0.06919319787575351
2004-03-02,4.046000003814697,0.945769078837079,-0.05575684243739339
2004-03-03,4.059999942779541,0.9490416219329939,-0.05230262260584674
2004-03-04,4.0289998054504395,0.9417952128133883,-0.05996742420387687
2004-03-05,3.8310000896453857,0.8955119679665291,-0.1103596930072708
2004-03-08,3.7760000228881836,0.882655477006595,-0.12482032778103522
2004-03-09,3.7190001010894775,0.8693315117365701,-0.1400307400009484
2004-03-10,3.734999895095825,0.8730715291425758,-0.13573779162779237
2004-03-11,3.746999979019165,0.8758765979283999,-0.1325300679135974
2004-03-12,3.759999990463257,0.8789154038692694,-0.1290666272603436
2004-03-15,3.7679998874664307,0.8807854125722722,-0.12694125527725972
2004-03-16,3.687999963760376,0.8620851026169642,-0.14840128625779384
2004-03-17,3.683000087738037,0.8609163611104174,-0.14975792084041353
2004-03-18,3.749000072479248,0.8763441279698103,-0.1319964250390493
2004-03-19,3.7880001068115234,0.8854605457924188,-0.12164737860460773
2004-03-22,3.7239999771118164,0.8705002532431166,-0.1386872288570872
2004-03-23,3.7109999656677246,0.8674614473022472,-0.14218420929880743
2004-03-24,3.7139999866485596,0.8681627144987032,-0.1413761227901601
2004-03-25,3.739000082015991,0.8740065892253968,-0.13466736419552822
2004-03-26,3.8429999351501465,0.8983169810210332,-0.1072322874178715
2004-03-29,3.890000104904175,0.9093034632779644,-0.09507639752777026
2004-03-30,3.9019999504089355,0.9121084763324688,-0.09199635263399956
2004-03-31,3.8369998931884766,0.8969144466281213,-0.10879479869821276
2004-04-01,3.8980000019073486,0.9111734719809674,-0.09302198055109517
2004-04-02,4.139999866485596,0.9677419318883018,-0.03278982653841259
2004-04-05,4.21999979019165,0.9864422418436096,-0.013650503795478268
