Date,ZW=F,linear,log_price,base100
2003-12-09,406.5,0.9926739926739927,-0.007352974305258806,100.0
2003-12-10,398.75,0.9737484737484738,-0.026602249194069724,98.09348093480935
2003-12-11,389.75,0.9517704517704518,-0.049431395355238134,95.87945879458795
2003-12-12,393.5,0.9609279609279608,-0.039855835435666224,96.8019680196802
2003-12-15,386.5,0.9438339438339438,-0.05780503526564748,95.079950799508
2003-12-16,389.5,0.9511599511599512,-0.05007303798232107,95.8179581795818
2003-12-17,386.0,0.9426129426129427,-0.05909953382829315,94.95694956949569
2003-12-18,393.25,0.9603174603174605,-0.040491361354736743,96.74046740467405
2003-12-19,394.25,0.9627594627594629,-0.03795167744997621,96.98646986469865
2003-12-22,385.5,0.9413919413919415,-0.060395710289739835,94.8339483394834
2003-12-23,370.5,0.9047619047619049,-0.10008345855698242,91.14391143911439
2003-12-24,363.0,0.8864468864468866,-0.12053406902827318,89.2988929889299
2003-12-26,366.0,0.8937728937728939,-0.11230356989175774,90.03690036900369
2003-12-29,364.0,0.8888888888888891,-0.11778303565638334,89.54489544895449
2003-12-30,396.25,0.9676434676434678,-0.03289157810163372,97.47847478474785
2003-12-31,377.0,0.9206349206349207,-0.08269171584511334,92.74292742927429
2004-01-02,405.75,0.9908424908424909,-0.009199696898423496,99.81549815498155
2004-01-05,398.5,0.9731379731379732,-0.027229405062854328,98.0319803198032
2004-01-06,394.5,0.9633699633699635,-0.037317763007195096,97.04797047970479
2004-01-07,395.5,0.965811965811966,-0.03478611608541537,97.2939729397294
2004-01-08,394.0,0.9621489621489624,-0.03858599399519015,96.9249692496925
2004-01-09,385.5,0.9413919413919416,-0.060395710289739765,94.8339483394834
2004-01-12,399.25,0.9749694749694753,-0.025349116198002036,98.21648216482166
2004-01-13,392.0,0.9572649572649575,-0.04367506350266136,96.4329643296433
2004-01-14,395.25,0.9652014652014653,-0.0354184272035426,97.23247232472325
2004-01-15,386.25,0.9432234432234433,-0.058452075081168835,95.01845018450184
2004-01-16,398.0,0.971916971916972,-0.028484898008686376,97.90897908979089
2004-01-20,395.5,0.9658119658119659,-0.034786116085415514,97.2939729397294
2004-01-21,392.0,0.9572649572649574,-0.04367506350266155,96.4329643296433
2004-01-22,387.0,0.9450549450549453,-0.05651221026334227,95.20295202952029
2004-01-23,381.5,0.9316239316239319,-0.07082605256861237,93.84993849938499
2004-01-26,381.25,0.9310134310134313,-0.0714815753715027,93.78843788437884
2004-01-27,380.0,0.9279609279609282,-0.07476565057269258,93.4809348093481
2004-01-28,374.75,0.9151404151404153,-0.08867776631041696,92.18942189421894
2004-01-29,380.25,0.9285714285714288,-0.07410797215372172,93.54243542435424
2004-01-30,389.0,0.9499389499389501,-0.0513575596746777,95.6949569495695
2004-02-02,385.0,0.9401709401709404,-0.06169356900533976,94.7109471094711
2004-02-03,380.5,0.9291819291819294,-0.0734507259913834,93.60393603936039
2004-02-04,376.0,0.9181929181929184,-0.08534775990322946,92.49692496924969
2004-02-05,381.0,0.9304029304029307,-0.07213752816642298,93.72693726937268
2004-02-06,378.5,0.9242979242979246,-0.07872083041562043,93.1119311193112
2004-02-09,382.25,0.9334554334554338,-0.06886205848395215,94.03444034440345
2004-02-10,384.5,0.9389499389499393,-0.06299311434742517,94.58794587945879
2004-02-11,388.5,0.9487179487179491,-0.05264373348542166,95.5719557195572
2004-02-12,386.75,0.9444444444444449,-0.05715841383994824,95.14145141451415
2004-02-13,380.25,0.9285714285714289,-0.07410797215372156,93.54243542435424
2004-02-17,375.25,0.9163614163614167,-0.08734443277955249,92.31242312423124
2004-02-18,364.5,0.8901098901098904,-0.11641035184441098,89.66789667896678
2004-02-19,372.75,0.9102564102564105,-0.09402894964827607,91.69741697416974
2004-02-20,371.5,0.9072039072039074,-0.09738803913531,91.38991389913899
2004-02-23,391.0,0.9548229548229551,-0.046229343307757985,96.1869618696187
2004-02-24,392.5,0.9584859584859586,-0.042400366070660736,96.5559655596556
2004-02-25,387.25,0.9456654456654459,-0.055866423996145845,95.26445264452644
2004-02-26,387.5,0.9462759462759465,-0.05522105449972219,95.3259532595326
2004-02-27,380.75,0.9297924297924299,-0.07279391151785272,93.66543665436654
2004-03-01,375.0,0.9157509157509159,-0.08801087732271308,92.25092250922509
2004-03-02,374.0,0.9133089133089135,-0.090681105878592,92.00492004920049
2004-03-03,369.5,0.9023199023199024,-0.10278616290486751,90.89790897908979
2004-03-04,370.75,0.9053724053724055,-0.0994089222750825,91.20541205412054
2004-03-05,366.5,0.8949938949938951,-0.11093838196641777,90.159901599016
2004-03-08,360.25,0.8797313797313798,-0.1281386684134925,88.62238622386224
2004-03-09,363.0,0.8864468864468864,-0.1205340690282733,89.2988929889299
2004-03-10,359.0,0.8766788766788767,-0.1316145148048452,88.31488314883148
2004-03-11,355.0,0.8669108669108668,-0.14281911381770834,87.33087330873309
2004-03-12,357.0,0.8717948717948717,-0.13720112151348507,87.82287822878229
2004-03-15,373.0,0.9108669108669109,-0.09335848364930854,91.7589175891759
2004-03-16,372.0,0.9084249084249084,-0.09604304901997752,91.5129151291513
2004-03-17,391.5,0.9560439560439561,-0.044951387862266226,96.30996309963099
2004-03-18,398.0,0.971916971916972,-0.028484898008686248,97.90897908979089
2004-03-19,392.75,0.9590964590964592,-0.0417636261573934,96.61746617466174
2004-03-22,422.75,1.0323565323565325,0.03184408448556578,103.99753997539976
2004-03-23,413.0,1.0085470085470085,0.0085106896679088,101.5990159901599
2004-03-24,412.0,1.006105006105006,0.006086446056402408,101.3530135301353
