Date,TIP
2003-12-08,51.44526290893555
2003-12-09,51.313846588134766
2003-12-10,51.45035171508789
2003-12-11,51.652557373046875
2003-12-12,51.61211013793945
2003-12-15,51.500911712646484
2003-12-16,51.44526290893555
2003-12-17,51.43009567260742
2003-12-18,51.652557373046875
2003-12-19,51.627315521240234
2003-12-22,51.57168960571289
2003-12-23,51.313846588134766
2003-12-24,51.60200500488281
2003-12-26,51.693031311035156
2003-12-29,51.54133224487305
2003-12-30,51.40488052368164
2003-12-31,51.479244232177734
2004-01-02,51.367919921875
2004-01-05,51.29703140258789
2004-01-06,51.62604522705078
2004-01-07,51.66649627685547
2004-01-08,51.469139099121094
2004-01-09,51.858863830566406
2004-01-12,51.81835174560547
2004-01-13,52.07144546508789
2004-01-14,52.08156204223633
2004-01-15,52.14730453491211
2004-01-16,52.172672271728516
2004-01-20,52.127132415771484
2004-01-21,52.33967971801758
2004-01-22,52.425758361816406
2004-01-23,52.056278228759766
2004-01-26,51.86394500732422
2004-01-27,52.07144546508789
2004-01-28,51.858863830566406
2004-01-29,51.833580017089844
2004-01-30,52.10685729980469
2004-02-02,52.197994232177734
2004-02-03,52.29417037963867
2004-02-04,52.29417037963867
2004-02-05,52.13723373413086
2004-02-06,52.349796295166016
2004-02-09,52.45608901977539
2004-02-10,52.314353942871094
2004-02-11,52.52696990966797
2004-02-12,52.38016891479492
2004-02-13,52.78509521484375
2004-02-17,52.52696990966797
2004-02-18,52.53710174560547
2004-02-19,52.557308197021484
2004-02-20,52.410552978515625
2004-02-23,52.57756805419922
2004-02-24,52.68891143798828
2004-02-25,52.82559585571289
2004-02-26,52.9217529296875
2004-02-27,53.22542190551758
2004-03-01,53.53419494628906
2004-03-02,53.362037658691406
2004-03-03,53.32160568237305
2004-03-04,53.336761474609375
2004-03-05,53.842960357666016
2004-03-08,54.02512741088867
2004-03-09,54.19720458984375
2004-03-10,54.02512741088867
2004-03-11,53.88845443725586
2004-03-12,53.802406311035156
2004-03-15,53.9289436340332
2004-03-16,54.23264694213867
2004-03-17,54.45534133911133
2004-03-18,54.364234924316406
2004-03-19,54.07572937011719
2004-03-22,54.20732498168945
2004-03-23,54.288326263427734
2004-03-24,54.430023193359375
2004-03-25,54.35416030883789
2004-03-26,54.12129211425781
2004-03-29,53.944149017333984
2004-03-30,53.96944046020508
2004-03-31,54.11118698120117
2004-04-01,54.09079360961914
2004-04-02,53.30245590209961
2004-04-05,53.00746154785156
2004-04-06,53.088829040527344
2004-04-07,52.77351379394531
2004-04-08,52.81417465209961
2004-04-12,52.81417465209961
2004-04-13,52.539554595947266
2004-04-14,52.40220260620117
2004-04-15,52.28525161743164
2004-04-16,52.60567092895508
2004-04-19,52.60567092895508
2004-04-20,52.19879913330078
2004-04-21,52.19879913330078
2004-04-22,52.13267135620117
2004-04-23,51.60368728637695
2004-04-26,51.852935791015625
2004-04-27,52.0360221862793
2004-04-28,51.593544006347656
2004-04-29,51.31889343261719
2004-04-30,51.50200271606445
2004-05-03,51.5193977355957
2004-05-04,51.544952392578125
2004-05-05,51.5245361328125
2004-05-06,51.340389251708984
2004-05-07,51.059146881103516
2004-05-10,51.023353576660156
2004-05-11,51.24832534790039
2004-05-12,51.319969177246094
2004-05-13,51.432464599609375
2004-05-14,51.560272216796875
2004-05-17,51.948909759521484
2004-05-18,52.035831451416016
2004-05-19,52.13301086425781
2004-05-20,52.38355255126953
2004-05-21,52.09722137451172
2004-05-24,52.286399841308594
2004-05-25,52.23015213012695
2004-05-26,52.42959213256836
2004-05-27,52.593257904052734
2004-05-28,52.542076110839844
2004-06-01,52.596641540527344
2004-06-02,52.32896423339844
2004-06-03,52.19512176513672
2004-06-04,52.07160568237305
2004-06-07,52.117958068847656
2004-06-08,51.886253356933594
2004-06-09,51.7369499206543
2004-06-10,51.793556213378906
2004-06-14,51.56706237792969
2004-06-15,52.00978088378906
2004-06-16,51.973785400390625
2004-06-17,52.07160568237305
2004-06-18,52.1488037109375
2004-06-21,52.22081756591797
2004-06-22,52.128150939941406
2004-06-23,52.1488037109375
2004-06-24,52.20026397705078
2004-06-25,52.16939163208008
2004-06-28,51.80903244018555
2004-06-29,52.00464630126953
2004-06-30,52.46797561645508
2004-07-01,52.722259521484375
2004-07-02,53.19779968261719
2004-07-06,53.0582275390625
2004-07-07,52.954891204833984
2004-07-08,52.980735778808594
2004-07-09,52.93421173095703
2004-07-12,52.87216567993164
2004-07-13,52.79460525512695
2004-07-14,52.79460525512695
2004-07-15,52.903175354003906
2004-07-16,53.16163635253906
2004-07-19,53.135799407958984
2004-07-20,52.753273010253906
2004-07-21,52.81532669067383
2004-07-22,52.85151672363281
2004-07-23,52.970394134521484
2004-07-26,52.79460525512695
2004-07-27,52.29842758178711
2004-07-28,52.45867156982422
2004-07-29,52.60337448120117
2004-07-30,52.89282989501953
2004-08-02,52.94999313354492
2004-08-03,53.059146881103516
2004-08-04,53.02793502807617
2004-08-05,53.18901824951172
2004-08-06,53.75544357299805
2004-08-09,53.724239349365234
2004-08-10,53.51640701293945
2004-08-11,53.729469299316406
2004-08-12,54.03601837158203
2004-08-13,54.24387741088867
2004-08-16,53.97367858886719
2004-08-17,54.03083801269531
2004-08-18,53.817779541015625
2004-08-19,54.14515686035156
2004-08-20,54.082767486572266
2004-08-23,53.843746185302734
2004-08-24,53.74504470825195
2004-08-25,53.75022506713867
2004-08-26,53.83855056762695
2004-08-27,53.86455535888672
2004-08-30,53.99965286254883
2004-08-31,54.31660842895508
2004-09-01,54.324989318847656
2004-09-02,54.06405258178711
