expiration,ticker,price
2025-12-30,ZWZ25.CBT,536.5
2026-03-30,ZWH26.CBT,551.25
2026-07-30,ZWN26.CBT,569.25
2026-09-30,ZWU26.CBT,580.5
2026-12-30,ZWZ26.CBT,596.25
2027-03-30,ZWH27.CBT,609.5
2027-07-30,ZWN27.CBT,620.0
2027-09-30,ZWU27.CBT,627.75
