Date,SPY
1995-01-03,26.66288948059082
1995-01-04,26.790292739868164
1995-01-05,26.790292739868164
1995-01-06,26.81760025024414
1995-01-09,26.844921112060547
1995-01-10,26.872207641601562
1995-01-11,26.89040756225586
1995-01-12,26.899513244628906
1995-01-13,27.218002319335938
1995-01-16,27.381807327270508
1995-01-17,27.390905380249023
1995-01-18,27.363609313964844
1995-01-19,27.208894729614258
1995-01-20,27.108810424804688
1995-01-23,27.19071388244629
1995-01-24,27.22711181640625
1995-01-25,27.29989242553711
1995-01-26,27.327199935913086
1995-01-27,27.4364070892334
1995-01-30,27.318103790283203
1995-01-31,27.427297592163086
1995-02-01,27.418203353881836
1995-02-02,27.581995010375977
1995-02-03,27.973310470581055
1995-02-06,28.091596603393555
1995-02-07,28.128000259399414
1995-02-08,28.128000259399414
1995-02-09,28.128000259399414
1995-02-10,28.164400100708008
1995-02-13,28.173498153686523
1995-02-14,28.20989227294922
1995-02-15,28.364601135253906
1995-02-16,28.328203201293945
1995-02-17,28.218997955322266
1995-02-21,28.20989227294922
1995-02-22,28.419221878051758
1995-02-23,28.464704513549805
1995-02-24,28.537504196166992
1995-02-27,28.30999755859375
1995-02-28,28.546594619750977
1995-03-01,28.364601135253906
1995-03-02,28.401020050048828
1995-03-03,28.41010284423828
1995-03-06,28.428295135498047
1995-03-07,28.20989227294922
1995-03-08,28.28270721435547
1995-03-09,28.273609161376953
1995-03-10,28.692203521728516
1995-03-13,28.664899826049805
1995-03-14,28.874210357666016
1995-03-15,28.819610595703125
1995-03-16,28.99250030517578
1995-03-17,29.021350860595703
1995-03-20,29.021350860595703
1995-03-21,28.948143005371094
1995-03-22,28.975601196289062
1995-03-23,28.9938907623291
1995-03-24,29.40561294555664
1995-03-27,29.524555206298828
1995-03-28,29.524555206298828
1995-03-29,29.515411376953125
1995-03-30,29.460500717163086
1995-03-31,29.34157371520996
1995-04-03,29.414762496948242
1995-04-04,29.606884002685547
1995-04-05,29.606884002685547
1995-04-06,29.7166805267334
1995-04-07,29.689224243164062
1995-04-10,29.744131088256836
1995-04-11,29.64348602294922
1995-04-12,29.744131088256836
1995-04-13,29.908828735351562
1995-04-17,29.734983444213867
1995-04-18,29.634340286254883
1995-04-19,29.606884002685547
1995-04-20,29.65264129638672
1995-04-21,29.799028396606445
1995-04-24,30.146703720092773
1995-04-25,30.064355850219727
1995-04-26,30.0917911529541
1995-04-27,30.164987564086914
1995-04-28,30.21072769165039
1995-05-01,30.128398895263672
1995-05-02,30.192434310913086
1995-05-03,30.613304138183594
1995-05-04,30.594993591308594
1995-05-05,30.558414459228516
1995-05-08,30.77800941467285
1995-05-09,30.75054168701172
1995-05-10,30.78713607788086
1995-05-11,30.869482040405273
1995-05-12,30.887775421142578
1995-05-15,31.03416633605957
1995-05-16,31.052467346191406
1995-05-17,30.933513641357422
1995-05-18,30.48520851135254
1995-05-19,30.503496170043945
1995-05-22,30.84203338623047
1995-05-23,31.12566566467285
1995-05-24,31.107362747192383
1995-05-25,31.13480567932129
1995-05-26,30.77800941467285
1995-05-30,30.768856048583984
1995-05-31,31.409269332885742
1995-06-01,31.326946258544922
1995-06-02,31.354389190673828
1995-06-05,31.546524047851562
1995-06-06,31.491641998291016
1995-06-07,31.326946258544922
1995-06-08,31.25374984741211
1995-06-09,31.07077980041504
1995-06-12,31.24459457397461
1995-06-13,31.583133697509766
1995-06-14,31.55568504333496
1995-06-15,31.69291114807129
1995-06-16,31.786983489990234
1995-06-19,32.14591598510742
1995-06-20,32.06306838989258
1995-06-21,32.044700622558594
1995-06-22,32.4680290222168
1995-06-23,32.40358352661133
1995-06-26,32.017066955566406
1995-06-27,31.952651977539062
1995-06-28,32.11829376220703
1995-06-29,32.06306838989258
1995-06-30,32.044700622558594
1995-07-03,32.16431427001953
1995-07-05,32.28395462036133
1995-07-06,32.69810104370117
1995-07-07,32.84534454345703
1995-07-10,32.863739013671875
1995-07-11,32.70729446411133
1995-07-12,33.11223220825195
1995-07-13,33.038604736328125
1995-07-14,33.010986328125
1995-07-17,33.19504928588867
1995-07-18,32.90975570678711
1995-07-19,32.55084991455078
1995-07-20,32.67049789428711
1995-07-21,32.63367462158203
1995-07-24,32.872955322265625
1995-07-25,33.12144470214844
1995-07-26,33.09381866455078
1995-07-27,33.369903564453125
1995-07-28,33.15823745727539
1995-07-31,33.0754280090332
1995-08-01,33.02021026611328
1995-08-02,32.94657516479492
1995-08-03,32.937374114990234
1995-08-04,32.974185943603516
1995-08-07,33.047821044921875
1995-08-08,33.047821044921875
1995-08-09,33.038604736328125
1995-08-10,32.9649772644043
1995-08-11,32.78093338012695
1995-08-14,33.0754280090332
1995-08-15,33.010986328125
1995-08-16,33.10301208496094
1995-08-17,33.047821044921875
1995-08-18,33.084625244140625
1995-08-21,32.99258804321289
1995-08-22,33.05699920654297
1995-08-23,32.937374114990234
1995-08-24,32.974185943603516
1995-08-25,33.15823745727539
1995-08-28,33.038604736328125
1995-08-29,33.12144470214844
1995-08-30,33.19504928588867
1995-08-31,33.22267150878906
1995-09-01,33.369903564453125
1995-09-05,33.682823181152344
1995-09-06,33.74723434448242
1995-09-07,33.76565933227539
1995-09-08,33.89448928833008
1995-09-11,33.986507415771484
1995-09-12,34.14297103881836
1995-09-13,34.299400329589844
1995-09-14,34.6123046875
1995-09-15,34.60272979736328
1995-09-18,34.473243713378906
1995-09-19,34.6397705078125
1995-09-20,34.806304931640625
1995-09-21,34.519493103027344
1995-09-22,34.528743743896484
1995-09-25,34.473243713378906
1995-09-26,34.463985443115234
1995-09-27,34.43623352050781
1995-09-28,34.69526290893555
1995-09-29,34.63051986694336
1995-10-02,34.45473861694336
1995-10-03,34.491729736328125
1995-10-04,34.45473861694336
1995-10-05,34.55651092529297
1995-10-06,34.584251403808594
1995-10-09,34.29745101928711
1995-10-10,34.2789421081543
1995-10-11,34.38995361328125
1995-10-12,34.60272979736328
1995-10-13,34.71379470825195
1995-10-16,34.547245025634766
1995-10-17,34.778564453125
1995-10-18,34.88031768798828
1995-10-19,35.04685592651367
1995-10-20,34.83407211303711
1995-10-23,34.76003646850586
1995-10-24,34.79705047607422
1995-10-25,34.51023483276367
1995-10-26,34.1956787109375
1995-10-27,34.45473861694336
1995-10-30,34.67679214477539
1995-10-31,34.528743743896484
1995-11-01,34.806304931640625
1995-11-02,35.02836990356445
1995-11-03,35.07462692260742
1995-11-06,34.95433044433594
1995-11-07,34.824825286865234
1995-11-08,35.13938903808594
1995-11-09,35.268917083740234
1995-11-10,35.25041961669922
1995-11-13,35.21339416503906
1995-11-14,34.98210144042969
1995-11-15,35.33367919921875
1995-11-16,35.527976989746094
1995-11-17,35.639007568359375
