Date,TIP
2003-12-05,51.0169792175293
2003-12-08,50.971954345703125
2003-12-09,50.841651916503906
2003-12-10,50.97690200805664
2003-12-11,51.17729187011719
2003-12-12,51.13718795776367
2003-12-15,51.02696990966797
2003-12-16,50.971954345703125
2003-12-17,50.95689392089844
2003-12-18,51.17729187011719
2003-12-19,51.152225494384766
2003-12-22,51.09709167480469
2003-12-23,50.841651916503906
2003-12-24,51.12720489501953
2003-12-26,51.2172966003418
2003-12-29,51.06706237792969
2003-12-30,50.93181610107422
2003-12-31,51.00556945800781
2004-01-02,50.895225524902344
2004-01-05,50.82502365112305
2004-01-06,51.150962829589844
2004-01-07,51.19108581542969
2004-01-08,50.99549102783203
2004-01-09,51.38165283203125
2004-01-12,51.34150314331055
2004-01-13,51.592262268066406
2004-01-14,51.602333068847656
2004-01-15,51.66749572753906
2004-01-16,51.692588806152344
2004-01-20,51.647438049316406
2004-01-21,51.85810852050781
2004-01-22,51.94329071044922
2004-01-23,51.577239990234375
2004-01-26,51.38664627075195
2004-01-27,51.592262268066406
2004-01-28,51.38165283203125
2004-01-29,51.35660934448242
2004-01-30,51.627418518066406
2004-02-02,51.71765899658203
2004-02-03,51.812950134277344
2004-02-04,51.812950134277344
2004-02-05,51.657474517822266
2004-02-06,51.86809539794922
2004-02-09,51.97340393066406
2004-02-10,51.833003997802734
2004-02-11,52.043582916259766
2004-02-12,51.89814758300781
2004-02-13,52.299346923828125
2004-02-17,52.043582916259766
2004-02-18,52.05363464355469
2004-02-19,52.07368087768555
2004-02-20,51.92825698852539
2004-02-23,52.093772888183594
2004-02-24,52.204071044921875
2004-02-25,52.339508056640625
2004-02-26,52.434776306152344
2004-02-27,52.735626220703125
2004-03-01,53.04154586791992
2004-03-02,52.871036529541016
2004-03-03,52.8309326171875
2004-03-04,52.84598159790039
2004-03-05,53.34746551513672
2004-03-08,53.52797317504883
2004-03-09,53.69850158691406
2004-03-10,53.52797317504883
2004-03-11,53.39260482788086
2004-03-12,53.30731964111328
2004-03-15,53.43269729614258
2004-03-16,53.733558654785156
2004-03-17,53.954254150390625
2004-03-18,53.86395263671875
2004-03-19,53.57810592651367
2004-03-22,53.70854949951172
2004-03-23,53.78875732421875
2004-03-24,53.92915344238281
2004-03-25,53.85390853881836
2004-03-26,53.623268127441406
2004-03-29,53.44773864746094
2004-03-30,53.47282028198242
2004-03-31,53.61325454711914
2004-04-01,53.593074798583984
2004-04-02,52.81201934814453
2004-04-05,52.51974105834961
2004-04-06,52.600341796875
2004-04-07,52.28787612915039
2004-04-08,52.32818603515625
2004-04-12,52.32818603515625
2004-04-13,52.0560417175293
2004-04-14,51.9200325012207
2004-04-15,51.80414962768555
2004-04-16,52.12160873413086
2004-04-19,52.12160873413086
2004-04-20,51.718467712402344
2004-04-21,51.718467712402344
2004-04-22,51.6529541015625
2004-04-23,51.12887191772461
2004-04-26,51.37579345703125
2004-04-27,51.55719757080078
2004-04-28,51.11878967285156
2004-04-29,50.846656799316406
2004-04-30,51.028079986572266
2004-05-03,51.045291900634766
2004-05-04,51.07065963745117
2004-05-05,51.05037307739258
2004-05-06,50.86797332763672
2004-05-07,50.58928298950195
2004-05-10,50.5538444519043
2004-05-11,50.77680206298828
2004-05-12,50.847679138183594
2004-05-13,50.95915222167969
2004-05-14,51.0858154296875
2004-05-17,51.47086715698242
2004-05-18,51.55702590942383
2004-05-19,51.65328598022461
2004-05-20,51.90153884887695
2004-05-21,51.61781692504883
2004-05-24,51.805259704589844
2004-05-25,51.74956130981445
2004-05-26,51.94715881347656
2004-05-27,52.10927200317383
2004-05-28,52.058597564697266
2004-06-01,52.112648010253906
2004-06-02,51.84745407104492
2004-06-03,51.714813232421875
2004-06-04,51.592411041259766
2004-06-07,51.63834762573242
2004-06-08,51.4088249206543
2004-06-09,51.26089096069336
2004-06-10,51.31694412231445
2004-06-14,51.09254837036133
2004-06-15,51.53122329711914
2004-06-16,51.495479583740234
2004-06-17,51.592411041259766
2004-06-18,51.668907165527344
2004-06-21,51.74032974243164
2004-06-22,51.648529052734375
2004-06-23,51.668907165527344
2004-06-24,51.719913482666016
2004-06-25,51.68931198120117
2004-06-28,51.33230972290039
2004-06-29,51.52608871459961
2004-06-30,51.98514175415039
2004-07-01,52.23712158203125
2004-07-02,52.7082633972168
2004-07-06,52.569976806640625
2004-07-07,52.46755599975586
2004-07-08,52.493194580078125
2004-07-09,52.447105407714844
2004-07-12,52.385616302490234
2004-07-13,52.30882263183594
2004-07-14,52.30882263183594
2004-07-15,52.41635513305664
2004-07-16,52.67243957519531
2004-07-19,52.6468391418457
2004-07-20,52.267879486083984
2004-07-21,52.329280853271484
2004-07-22,52.365142822265625
2004-07-23,52.482940673828125
2004-07-26,52.30882263183594
2004-07-27,51.817195892333984
2004-07-28,51.975948333740234
2004-07-29,52.11931228637695
2004-07-30,52.40614318847656
2004-08-02,52.462738037109375
2004-08-03,52.57088088989258
2004-08-04,52.539981842041016
2004-08-05,52.699581146240234
2004-08-06,53.260772705078125
2004-08-09,53.22987365722656
2004-08-10,53.02393341064453
2004-08-11,53.23501968383789
2004-08-12,53.538822174072266
2004-08-13,53.74479293823242
2004-08-16,53.477012634277344
2004-08-17,53.533599853515625
2004-08-18,53.322532653808594
2004-08-19,53.64690399169922
2004-08-20,53.58515548706055
2004-08-23,53.34830093383789
2004-08-24,53.25047302246094
2004-08-25,53.255615234375
2004-08-26,53.343177795410156
2004-08-27,53.36887741088867
2004-08-30,53.50272750854492
2004-08-31,53.81679916381836
2004-09-01,53.82509231567383
