Date,TIP
2003-12-08,51.44529342651367
2003-12-09,51.31385040283203
2003-12-10,51.45037078857422
2003-12-11,51.652549743652344
2003-12-12,51.61211013793945
2003-12-15,51.50088882446289
2003-12-16,51.44529342651367
2003-12-17,51.430118560791016
2003-12-18,51.652549743652344
2003-12-19,51.627296447753906
2003-12-22,51.57169723510742
2003-12-23,51.31385040283203
2003-12-24,51.60202407836914
2003-12-26,51.69302749633789
2003-12-29,51.541351318359375
2003-12-30,51.40483856201172
2003-12-31,51.479244232177734
2004-01-02,51.3679084777832
2004-01-05,51.29706954956055
2004-01-06,51.62602233886719
2004-01-07,51.66653060913086
2004-01-08,51.46913528442383
2004-01-09,51.85889434814453
2004-01-12,51.818336486816406
2004-01-13,52.07145690917969
2004-01-14,52.08152770996094
2004-01-15,52.1473503112793
2004-01-16,52.17268371582031
2004-01-20,52.1270866394043
2004-01-21,52.33969497680664
2004-01-22,52.42572784423828
2004-01-23,52.05624008178711
2004-01-26,51.863929748535156
2004-01-27,52.07145690917969
2004-01-28,51.85889434814453
2004-01-29,51.833587646484375
2004-01-30,52.10686111450195
2004-02-02,52.19797134399414
2004-02-03,52.29413986206055
2004-02-04,52.29413986206055
2004-02-05,52.137210845947266
2004-02-06,52.349796295166016
2004-02-09,52.456085205078125
2004-02-10,52.31435775756836
2004-02-11,52.52693557739258
2004-02-12,52.38015365600586
2004-02-13,52.78508758544922
2004-02-17,52.52693557739258
2004-02-18,52.53705978393555
2004-02-19,52.557334899902344
2004-02-20,52.41053009033203
2004-02-23,52.577571868896484
2004-02-24,52.688926696777344
2004-02-25,52.825565338134766
2004-02-26,52.92173385620117
2004-02-27,53.22543716430664
2004-03-01,53.53417205810547
2004-03-02,53.36212158203125
2004-03-03,53.32159423828125
2004-03-04,53.3368034362793
2004-03-05,53.8429069519043
2004-03-08,54.02511215209961
2004-03-09,54.1972541809082
2004-03-10,54.02511215209961
2004-03-11,53.88847732543945
2004-03-12,53.802406311035156
2004-03-15,53.92898178100586
2004-03-16,54.23259735107422
2004-03-17,54.4553337097168
2004-03-18,54.36422348022461
2004-03-19,54.07573699951172
2004-03-22,54.20732879638672
2004-03-23,54.28832244873047
2004-03-24,54.42998504638672
2004-03-25,54.3541145324707
2004-03-26,54.121280670166016
2004-03-29,53.944175720214844
2004-03-30,53.96944808959961
2004-03-31,54.11117935180664
2004-04-01,54.09081268310547
2004-04-02,53.30244064331055
2004-04-05,53.00746536254883
2004-04-06,53.08882522583008
2004-04-07,52.77350997924805
2004-04-08,52.81421661376953
2004-04-12,52.81421661376953
2004-04-13,52.53956985473633
2004-04-14,52.402244567871094
2004-04-15,52.28522872924805
2004-04-16,52.60566711425781
2004-04-19,52.60566711425781
2004-04-20,52.19879150390625
2004-04-21,52.19879150390625
2004-04-22,52.132652282714844
2004-04-23,51.60370635986328
2004-04-26,51.852935791015625
2004-04-27,52.03602600097656
2004-04-28,51.59354019165039
2004-04-29,51.31890869140625
2004-04-30,51.50199508666992
2004-05-03,51.519371032714844
2004-05-04,51.54491424560547
2004-05-05,51.52449417114258
2004-05-06,51.34041213989258
2004-05-07,51.05918502807617
2004-05-10,51.02335739135742
2004-05-11,51.248355865478516
2004-05-12,51.319942474365234
2004-05-13,51.43244934082031
2004-05-14,51.56031799316406
2004-05-17,51.94891357421875
2004-05-18,52.03582000732422
2004-05-19,52.13301086425781
2004-05-20,52.38357162475586
2004-05-21,52.097206115722656
2004-05-24,52.2863883972168
2004-05-25,52.23019027709961
2004-05-26,52.42962646484375
2004-05-27,52.59321975708008
2004-05-28,52.54206466674805
2004-06-01,52.59667205810547
2004-06-02,52.3289794921875
2004-06-03,52.19511032104492
2004-06-04,52.07154846191406
2004-06-07,52.11790466308594
2004-06-08,51.88624572753906
2004-06-09,51.736915588378906
2004-06-10,51.793575286865234
2004-06-14,51.56710433959961
2004-06-15,52.00978088378906
2004-06-16,51.973758697509766
2004-06-17,52.07154846191406
2004-06-18,52.14878845214844
2004-06-21,52.220863342285156
2004-06-22,52.12819290161133
2004-06-23,52.14878845214844
2004-06-24,52.200252532958984
2004-06-25,52.169368743896484
2004-06-28,51.809024810791016
2004-06-29,52.00464630126953
2004-06-30,52.46796417236328
2004-07-01,52.72229766845703
2004-07-02,53.19780349731445
2004-07-06,53.05825424194336
2004-07-07,52.954856872558594
2004-07-08,52.980674743652344
2004-07-09,52.93422317504883
2004-07-12,52.872169494628906
2004-07-13,52.79463577270508
2004-07-14,52.79463577270508
2004-07-15,52.903167724609375
2004-07-16,53.16162109375
2004-07-19,53.1357421875
2004-07-20,52.753292083740234
2004-07-21,52.815284729003906
2004-07-22,52.851444244384766
2004-07-23,52.97037124633789
2004-07-26,52.79463577270508
2004-07-27,52.298423767089844
2004-07-28,52.458621978759766
2004-07-29,52.60334396362305
2004-07-30,52.89285659790039
2004-08-02,52.95001983642578
2004-08-03,53.05911636352539
2004-08-04,53.02794647216797
2004-08-05,53.189022064208984
2004-08-06,53.755462646484375
2004-08-09,53.72422409057617
2004-08-10,53.5163459777832
2004-08-11,53.72940444946289
2004-08-12,54.03600311279297
2004-08-13,54.243873596191406
2004-08-16,53.973670959472656
2004-08-17,54.03081130981445
2004-08-18,53.81780242919922
2004-08-19,54.14512634277344
2004-08-20,54.082763671875
2004-08-23,53.84375
2004-08-24,53.74503707885742
2004-08-25,53.750205993652344
2004-08-26,53.83855056762695
2004-08-27,53.864559173583984
2004-08-30,53.99965286254883
2004-08-31,54.31659698486328
2004-09-01,54.32494354248047
2004-09-02,54.064064025878906
